"name","country","operator","users","purpose","perigee","apogee","launch_mass","date_of_launch","expected_lifetime",
"1HOPSAT-TD (1st-generation High Optical Performance Satellite)","USA","Hera Systems","Commercial","Earth Observation",566,576,22,2019-12-11,0.500000,
"Aalto-1","Finland","Aalto University","Civil","Technology Development",497,517,5,2017-06-23,2.000000,
"AAUSat-4","Denmark","University of Aalborg","Civil","Earth Observation",442,687,1,2016-04-25,-1.000000,
"ABS-2 (Koreasat-8, ST-3)","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications",35778,35793,6330,2014-02-06,15.000000,
"ABS-2A","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications",35700,35700,1800,2016-06-15,15.000000,
"ABS-3A","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications",35788,35803,2000,2015-03-02,15.000000,
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications",35780,35793,4143,2004-03-13,12.000000,
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications",35777,35794,2894,1999-09-26,15.000000,
"Adelis-Sampson 1","Israel","Asher Space Research Institute at Technion/Israeli Aircraft Industries","Government","Technology Development",538,561,9,2021-03-22,-1.000000,
"Adelis-Sampson 2","Israel","Asher Space Research Institute at Technion/Israeli Aircraft Industries","Government","Technology Development",539,599,9,2021-03-22,-1.000000,
"Adelis-Sampson 3","Israel","Asher Space Research Institute at Technion/Israeli Aircraft Industries","Government","Technology Development",537,561,9,2021-03-22,-1.000000,
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation",35700,35800,5400,2020-12-11,-1.000000,
"Advanced Orion 4 (Mentor, NROL 6, USA 139)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation",35560,36013,5200,1998-05-09,-1.000000,
"Advanced Orion 5 (Mentor, NROL 19, USA 171)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation",35589,35984,5200,2003-09-09,-1.000000,
"Advanced Orion 6 (Mentor, NRO L-26, USA 202)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation",35714,35937,5400,2009-01-18,-1.000000,
"Advanced Orion 7 (Mentor, NRO L-32, USA 223)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation",35500,35500,5000,2010-11-21,-1.000000,
"Advanced Orion 8 (Mentor, NRO L-15, USA 237)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation",35771,35805,5000,2012-06-29,-1.000000,
"Advanced Orion 9 (Mentor, NRO L-37, USA 268)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation",35613,35903,5000,2016-06-11,-1.000000,
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)","USA","US Air Force","Military","Communications",35772,35801,6169,2012-05-03,14.000000,
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)","USA","US Air Force","Military","Communications",35700,35803,6169,2013-09-18,14.000000,
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)","USA","US Air Force","Military","Communications",35781,35790,6169,2018-10-17,-1.000000,
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)","USA","US Air Force","Military","Communications",35780,35810,6169,2019-08-08,-1.000000,
"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)","USA","US Air Force","Military","Communications",35780,35780,6169,2020-03-26,-1.000000,
"Aeneas","USA","Department of Homeland Security","Government","Technology Development",480,790,3,2012-09-13,-1.000000,
"Aeolus","ESA","European Space Agency (ESA)","Government","Earth Observation",314,317,1367,2018-08-22,3.000000,
"Aerocube 10A (Jimsat)","USA","Aerospace Corporation","Commercial","Technology Development",469,481,2,2019-08-09,-1.000000,
"Aerocube 10B (Dougsat)","USA","Aerospace Corporation","Commercial","Technology Development",471,483,2,2019-08-09,-1.000000,
"Aerocube 11A (TOMSat Eagle Scout)","USA","Aerospace Corporation","Commercial","Technology Development",495,511,4,2018-12-17,-1.000000,
"Aerocube 11B (TOMSat R3)","USA","Aerospace Corporation","Commercial","Technology Development",492,511,4,2018-12-17,-1.000000,
"Aerocube 12A","USA","Aerospace Corporation","Commercial","Technology Development",481,487,4,2018-07-16,-1.000000,
"Aerocube 12B","USA","Aerospace Corporation","Commercial","Technology Development",481,487,4,2018-07-16,-1.000000,
"Aerocube 14A","USA","Aerospace Corporation","Military","Technology Development",459,474,-1,2020-01-31,-1.000000,
"Aerocube 14B","USA","Aerospace Corporation","Military","Technology Development",459,474,-1,2020-01-31,-1.000000,
"Aerocube 15A","USA","Aerospace Corporation","Military","Technology Development",458,474,-1,2020-01-31,-1.000000,
"Aerocube 5C","USA","Aerospace Corporation","Commercial","Technology Development",500,802,2,2015-10-08,-1.000000,
"Aerocube 6A","USA","Aerospace Corporation","Commercial","Technology Development",614,700,5,2014-06-19,3.000000,
"Aerocube 6B","USA","Aerospace Corporation","Commercial","Technology Development",614,700,5,2014-06-19,3.000000,
"Aerocube 7A","USA","Aerospace Corporation","Commercial","Technology Development",500,802,2,2015-10-08,-1.000000,
"Aerocube 7B","USA","Aerospace Corporation","Commercial","Technology Development",432,437,2,2017-11-12,-1.000000,
"Aerocube 7C","USA","Aerospace Corporation","Commercial","Technology Development",432,437,2,2017-11-12,-1.000000,
"Aerocube 8C","USA","Aerospace Corporation","Commercial","Technology Development",569,584,5,2016-11-11,-1.000000,
